"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085315","2013-01","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","26","5,S","18","5,S","","","","","37.5","5,S,31,","","","32.49","5,,,S","",""
"BLM00085315","2013-03","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","23","5,S","6","5,S","","","","","37.9","5,S,10,","","","28.44","5,,,S","",""
"BLM00085315","2013-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","16","5,S","0","5,S","","","","","32.0","5,S,28,","","","24.14","5,,,S","",""
"BLM00085315","2013-08","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","22","4,S","8","4,S","","","","","38.5","4,S,31,","","","27.33","4,,,S","",""
"BLM00085315","2013-10","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","27","3,S","9","3,S","","","","","36.4","3,S,20,","","","29.97","3,,,S","",""
"BLM00085315","2013-12","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","28","3,S","17","3,S","","","","","40.0","3,S,05,","","","33.54","3,,,S","",""
"BLM00085315","2014-01","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","2,S","29","2,S","18","2,S","","","","","37.0","2,S,02,","","","31.80","2,,,S","",""
"BLM00085315","2014-02","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","24","4,S","8","4,S","","","","","35.2","4,S,02,","","","30.40","4,,,S","",""
"BLM00085315","2014-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","23","5,S","17","5,S","","","","","39.0","5,S,23,","","","32.64","5,,,S","",""
"BLM00085315","2015-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","16","5,S","1","5,S","","","","","34.4","5,S,31,","","","23.73","5,,,S","",""
"BLM00085315","2015-08","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","27","3,S","10","3,S","","","","","39.4","3,S,07,","","","30.49","3,,,S","",""
"BLM00085315","2017-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","17","4,S","1","4,S","","","","","32.3","4,S,17,","","","23.82","4,,,S","",""
"BLM00085315","2018-02","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","23","5,S","5","5,S","","","","","34.4","5,S,09,","","","29.11","5,,,S","",""
"BLM00085315","2018-10","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","24","4,S","8","4,S","","","","","38.4","4,S,18,","","","28.09","4,,,S","",""
"BLM00085315","2018-12","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","4,S","0","4,S","","","","","","","15.5","4,S,05,","","","","","","","","","19.40","4,,,S"
