"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00298289","1932-09","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","173.0","6","3.1",",6","6",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","21",",6","0",",6","4.4",",6,19,","","","22.1",",,6,23,","31.7",",6,15,","","","73.4","6","69.0",",6","47.3",",,,6","","","16.14",",6","25.52",",,,6","6.75",",,,6","4944",",,,6"
"USC00298289","1932-10","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","173.0","6","0.0",",6","4",",6","3",",6","0",",6","","","0",",6","17",",6","0",",6","21",",6","0",",6","-6.7",",6,25,","","","4.6",",,6,22,","30.0",",6,17,","","","305.8","6","232.4",",6","10.1",",,,6","","","10.84",",6","21.46",",,,6","0.22",",,,6","6693",",,,6"
"USC00298289","1932-11","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","173.0","6","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","27",",6","0",",6","6",",6","0",",6","-12.8",",6,11,","","","0.0",",T,6,07,","25.6",",6,13,","","","678.8","6","373.0",",6","0.0",",T,,6","","","5.90",",6","17.40",",,,6","-5.60",",,,6","5986",",,,6"
"USC00298289","1932-12","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","173.0","6","0.0",",6","2",",6","1",",6","0",",6","","","3",",6","31",",6","3",",6","0",",6","0",",6","-21.1",",6,17,","","","3.8",",,6,15,","18.9",",6,05,","","","1337.3","6","658.5",",6","5.1",",,,6","","","-2.91",",6","6.40",",,,6","-12.22",",,,6","6113",",,,6"
"USC00298289","1933-01","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","31",",6","0",",6","0",",6","0",",6","-16.1",",6,01,","","","0.0",",T,6,18,+","18.3",",6,08,","","","1887.8","6","550.5",",6","0.0",",T,,6","","","0.58",",6","10.96",",,,6","-9.81",",,,6","10127",",,,6"
"USC00298289","1933-02","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0",",6","1",",6","0",",6","0",",6","","","6",",6","28",",6","4",",6","0",",6","0",",6","-31.7",",6,08,","","","0.3",",,6,08,","18.3",",6,23,","","","2451.7","6","563.9",",6","0.3",",,,6","","","-1.81",",6","8.82",",,,6","-12.43",",,,6","8237",",,,6"
"USC00298289","1933-03","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0",",6","1",",6","0",",6","0",",6","","","0",",6","29",",6","0",",6","6",",6","0",",6","-10.0",",6,20,","","","1.3",",,6,30,","23.9",",6,28,","","","2840.5","6","388.8",",6","1.3",",,,6","","","5.79",",6","16.31",",,,6","-4.73",",,,6","12104",",,,6"
"USC00298289","1933-04","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.0","6","0.0","2,6","2",",6","1",",6","0",",6","","","0","1,6","22","1,6","0","1,6","9","1,6","0","1,6","-13.3","1,6,14,","","","7.1",",,6,26,","22.8","1,6,27,+","","","3152.6","6","312.1","1,6","7.9",",,,6","","","7.19","2,6","17.41","1,,,6","-3.04","1,,,6","10527","1,,,6"
"USC00298289","1933-05","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","0.1","6","0.1",",6","3",",6","3",",6","1",",6","","","0",",6","7",",6","0",",6","20",",6","0",",6","-2.2",",6,05,","","","28.7",",,6,04,","30.0",",6,27,+","2493.0",",,,6","3304.6","6","152.0",",6","42.7",",,,6","","","13.43",",6","22.96",",,,6","3.90",",,,6","11358","1,,,6"
"USC00298289","1933-06","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","46.3","6","46.2",",6","7",",6","6",",6","1",",6","0",",6","0",",6","0",",6","0",",6","29",",6","11",",6","2.2",",6,08,","0",",,6,30,+","38.9",",,6,13,","35.6",",6,11,+","2038.4",",,,6","3317.3","6","12.7",",6","86.4",",,,6","0",",,,6","19.45",",6","29.09",",,,6","9.80",",,,6","8111",",,,6"
