"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00230536","1906-02","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0","1,6","7",",6","7",",6","0",",6","2",",6","2",",6","22",",6","5","1,6","0","1,6","0","1,6","","","-17.8",",6,06,+","51",",,6,26,","20.3",",,6,13,","18.3","1,6,19,","","","488.1","1,6","74.3",",,,6","76",",,,6","0.36","1,6","6.56","1,,,6","-5.84",",,,6"
"USC00230536","1906-03","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0",",6","7",",6","6",",6","0",",6","3",",6","0",",6","25",",6","7",",6","0",",6","0",",6","","","-14.4",",6,20,","76",",,6,19,","19.8",",,6,26,","18.3",",6,26,+","","","529.0",",6","53.0",",,,6","139",",,,6","1.27",",6","6.30",",,,6","-3.76",",,,6"
"USC00230536","1906-04","38.25","-91.75","312.1","BELLE, MO US","22.8","6","22.8","2,6","2",",6","2",",6","0",",6","","","0","1,6","2","1,6","0","1,6","21","1,6","0","1,6","","","-3.3","1,6,01,","","","19.1",",,6,13,","30.6","1,6,24,+","","","105.0","1,6","27.2",",,,6","","","15.31","2,6","23.98","1,,,6","6.63","1,,,6"
"USC00230536","1906-05","38.25","-91.75","312.1","BELLE, MO US","95.8","6","73.0",",6","8",",6","6",",6","1",",6","","","0",",6","1",",6","0",",6","25",",6","4",",6","","","-0.6",",6,07,","","","39.1",",,6,31,","32.8",",6,30,","","","54.5",",6","73.0",",,,6","","","18.93",",6","26.55",",,,6","11.31",",,,6"
"USC00230536","1906-06","38.25","-91.75","312.1","BELLE, MO US","","","","","10",",6","9",",6","1",",6","","","0",",6","0",",6","","","","","","","","","10.0",",6,21,","","","30.0",",,6,24,","","","","","","","116.9",",,,6","","","","","","","15.38",",,,6"
"USC00230536","1906-07","38.25","-91.75","312.1","BELLE, MO US","","","125.0","2,6","8",",6","7",",6","3",",6","","","0","2,6","0","2,6","0","2,6","29","2,6","1","2,6","","","12.2","2,6,25,","","","48.3",",,6,15,","33.3","2,6,22,","0.0","6","0.0","2,6","164.4",",,,6","","","22.64","2,6","29.26","2,,,6","16.03","2,,,6"
"USC00230536","1906-08","38.25","-91.75","312.1","BELLE, MO US","","","165.3","2,6","8",",6","5",",6","1",",6","","","0","2,6","0","2,6","0","2,6","29","2,6","11","2,6","","","7.2","2,6,28,","","","33.0",",,6,26,","33.9","2,6,20,+","3.4","6","3.4","2,6","96.3",",,,6","","","23.92","2,6","30.40","2,,,6","17.44","2,,,6"
"USC00230536","1906-10","38.25","-91.75","312.1","BELLE, MO US","","","6.7","1,6","6",",6","4",",6","0",",6","","","0","1,6","3","1,6","0","1,6","19","1,6","0","1,6","","","-4.4","1,6,31,","","","11.9",",,6,23,","28.9","1,6,04,","","","133.0","1,6","27.4",",,,6","","","14.12","1,6","21.15","1,,,6","7.09","1,,,6"
"USC00230536","1906-11","38.25","-91.75","312.1","BELLE, MO US","","","0.0",",6","5","1,6","4","1,6","1","1,6","2",",6","0",",6","18",",6","0",",6","3",",6","0",",6","","","-11.7",",6,13,","127",",,6,14,","50.8","1,,6,22,","26.1",",6,05,","","","370.4",",6","97.8","1,,,6","165",",,,6","5.99",",6","12.44",",,,6","-0.47",",,,6"
"USC00230536","1906-12","38.25","-91.75","312.1","BELLE, MO US","","","0.0",",6","7","2,6","5","2,6","0","2,6","2",",6","0",",6","20",",6","5",",6","0",",6","0",",6","","","-13.9",",6,23,","25",",,6,20,+","15.7","2,,6,30,+","20.0",",6,13,","","","474.2",",6","50.0","2,,,6","50",",,,6","3.04",",6","7.96",",,,6","-1.88",",,,6"
"USC00230536","1907-01","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0","1,6","9","2,6","8","2,6","0","2,6","1",",6","0","1,6","22","1,6","1","1,6","2","1,6","0","1,6","","","-12.2","1,6,27,","25",",,6,27,","21.1","2,,6,18,","22.2","1,6,06,","","","443.4","1,6","91.2","2,,,6","38",",,,6","3.55","1,6","9.31","1,,,6","-2.21","1,,,6"
"USC00230536","1907-02","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0",",6","4",",6","4",",6","0",",6","2",",6","1",",6","21",",6","6",",6","2",",6","0",",6","","","-17.8",",6,05,","64",",,6,21,","7.6",",,6,23,","22.2",",6,18,","","","454.0",",6","19.5",",,,6","89",",,,6","2.12",",6","8.52",",,,6","-4.28",",,,6"
"USC00230536","1907-03","38.25","-91.75","312.1","BELLE, MO US","45.7","6","45.7",",6","","","","","","","","","0",",6","9",",6","0",",6","14",",6","3",",6","","","-6.7",",6,03,","","","","","35.0",",6,21,","","","217.0",",6","","","","","12.81",",6","19.58",",,,6","6.03",",,,6"
"USC00230536","1907-04","38.25","-91.75","312.1","BELLE, MO US","","","","","8",",6","6",",6","1",",6","0",",6","0","2,6","7","2,6","","","","","","","","","-2.8","2,6,17,+","0",",T,6,12,+","27.9",",,6,23,","","","","","","","62.0",",,,6","0",",T,,6","","","","","3.61","2,,,6"
"USC00230536","1907-05","38.25","-91.75","312.1","BELLE, MO US","","","30.1","2,6","","","","","","","0",",6","0","2,6","0","2,6","0","2,6","17","2,6","0","2,6","","","0.6","2,6,02,","0",",T,6,15,+","","","31.7","2,6,17,","","","97.6","2,6","","","0",",T,,6","16.01","2,6","22.54","2,,,6","9.47","2,,,6"
"USC00230536","1907-06","38.25","-91.75","312.1","BELLE, MO US","","","92.2","1,6","11",",6","11",",6","1",",6","","","0","1,6","0","1,6","0","1,6","28","1,6","0","1,6","","","6.7","1,6,03,","","","41.4",",,6,01,","31.7","1,6,30,+","","","16.3","1,6","136.5",",,,6","","","20.95","1,6","27.17","1,,,6","14.72","1,,,6"
