"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00413557","1956-12","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","3.8",",,0,18,","7.4",",,,0","0",",,,0"
"USC00413557","1957-01","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","4.1",",,0,31,","9.2",",,,0","0",",,,0"
"USC00413557","1957-02","31.06667","-102.4","705.0","GIRVIN, TX US","5",",0","4",",0","0",",0","0",",0","0",",0","","","","","0",",,0,28,+","0",",,0,28,+","15.2",",,0,17,","43.1",",,,0","0",",,,0"
"USC00413557","1957-03","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","1.3",",,0,02,","1.3",",,,0","0",",,,0"
"USC00413557","1957-04","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","3",",0","2",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","50.3",",,0,24,","84.3",",,,0","0",",,,0"
"USC00413557","1957-06","31.06667","-102.4","705.0","GIRVIN, TX US","6",",0","2",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","5.6",",,0,05,","15.3",",,,0","0",",,,0"
"USC00413557","1957-07","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","2",",0","1",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","27.4",",,0,23,","31.7",",,,0","0",",,,0"
"USC00413557","1957-08","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","0.5",",,0,02,","0.5",",,,0","0",",,,0"
"USC00413557","1957-09","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","20.3",",,0,21,","20.3",",,,0","0",",,,0"
"USC00413557","1957-10","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","24.9",",,0,20,","69.3",",,,0","0",",,,0"
"USC00413557","1957-11","31.06667","-102.4","705.0","GIRVIN, TX US","5",",0","2",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",T,0,18,+","11.2",",,0,03,","22.2",",,,0","0",",T,,0"
