"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR037041370","1963-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","14",",I","10",",I","2",",I","","","","","","","43.0",",,I,13,","162.9",",,,I","",""
"BR037041370","1963-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","21",",I","19",",I","3",",I","","","","","","","51.1",",,I,20,","289.1",",,,I","",""
"BR037041370","1963-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","26",",I","22",",I","5",",I","","","","","","","63.5",",,I,01,","396.8",",,,I","",""
"BR037041370","1963-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","16",",I","11",",I","3",",I","","","","","","","51.8",",,I,02,","185.0",",,,I","",""
"BR037041370","1963-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","7",",I","5",",I","0",",I","","","","","","","24.9",",,I,01,","66.4",",,,I","",""
"BR037041370","1963-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,30,+","0.0",",,,I","",""
"BR037041370","1963-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","1",",I","0",",I","","","","","","","5.0",",,I,03,","5.0",",,,I","",""
"BR037041370","1963-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1963-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,30,+","0.0",",,,I","",""
"BR037041370","1963-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","1",",I","1",",I","","","","","","","76.6",",,I,31,","76.6",",,,I","",""
"BR037041370","1963-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","10",",I","5",",I","1",",I","","","","","","","68.0",",,I,30,","97.3",",,,I","",""
"BR037041370","1963-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","12",",I","12",",I","6",",I","","","","","","","56.9",",,I,24,","304.1",",,,I","",""
"BR037041370","1964-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","21",",I","16",",I","3",",I","","","","","","","54.3",",,I,12,","225.4",",,,I","",""
"BR037041370","1964-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","22",",I","18",",I","1",",I","","","","","","","57.1",",,I,25,","228.2",",,,I","",""
"BR037041370","1964-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","23",",I","20",",I","1",",I","","","","","","","103.7",",,I,03,","333.7",",,,I","",""
"BR037041370","1964-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","20",",I","16",",I","5",",I","","","","","","","89.0",",,I,02,","403.4",",,,I","",""
"BR037041370","1964-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","18",",I","11",",I","1",",I","","","","","","","38.4",",,I,04,","152.1",",,,I","",""
"BR037041370","1964-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","6",",I","3",",I","0",",I","","","","","","","6.7",",,I,18,","18.7",",,,I","",""
"BR037041370","1964-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","2",",I","0",",I","","","","","","","10.0",",,I,27,","17.1",",,,I","",""
"BR037041370","1964-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","1",",I","0",",I","","","","","","","12.5",",,I,03,","12.5",",,,I","",""
"BR037041370","1964-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","7",",I","1",",I","0",",I","","","","","","","5.2",",,I,08,","11.4",",,,I","",""
"BR037041370","1964-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","0",",I","0",",I","","","","","","","1.8",",,I,23,","1.8",",,,I","",""
"BR037041370","1964-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","1",",I","0",",I","","","","","","","3.5",",,I,13,","3.5",",,,I","",""
"BR037041370","1964-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","4",",I","2",",I","1",",I","","","","","","","51.2",",,I,26,","57.4",",,,I","",""
"BR037041370","1965-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","14",",I","5",",I","0",",I","","","","","","","24.8",",,I,24,","60.4",",,,I","",""
"BR037041370","1965-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","12",",I","5",",I","1",",I","","","","","","","59.4",",,I,05,","118.9",",,,I","",""
"BR037041370","1965-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","29",",I","16",",I","1",",I","","","","","","","45.9",",,I,01,","200.1",",,,I","",""
"BR037041370","1965-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","25",",I","19",",I","5",",I","","","","","","","54.1",",,I,09,","357.3",",,,I","",""
"BR037041370","1965-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","8",",I","7",",I","0",",I","","","","","","","18.9",",,I,04,","58.3",",,,I","",""
"BR037041370","1965-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","8",",I","3",",I","0",",I","","","","","","","11.3",",,I,14,","33.0",",,,I","",""
"BR037041370","1965-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1965-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","0",",I","0",",I","","","","","","","2.2",",,I,24,","2.2",",,,I","",""
